state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
az,04001944901,04001944902,0,0,0,0,0,0,0,0
az,04001944902,04001944901,0,0,0,0,0,0,0,0
az,04003000102,04003000201,6,6,6,6,0,0,0,0
az,04003000202,04011960200,9,10,11,11,1,1,2,2
az,04003000202,04019004118,4,4,5,5,1,1,1,2
az,04003000305,04019000600,1,1,2,2,0,0,0,1
az,04003000305,04019004062,0,0,1,1,0,0,0,1
az,04003000800,04003000501,0,0,0,0,0,0,0,0
az,04003000901,04003000502,2,2,2,2,0,0,0,0
az,04003001100,04003002100,2,2,2,2,0,0,0,0
az,04003001302,04013216860,8,9,11,12,0,0,0,3
az,04003001302,04019004510,10,13,14,13,0,0,0,2
az,04003001502,04003001702,1,1,1,1,0,0,0,0
az,04003001701,04019004626,3,3,4,4,0,0,0,1
az,04003001702,04013422638,8,9,12,13,0,0,0,3
az,04003001703,04003001702,0,0,0,0,0,0,0,0
az,04003001802,04003001801,0,0,0,0,0,0,0,0
az,04003002001,04003001601,0,0,0,0,0,0,0,0
az,04003002002,04013114600,5,6,8,9,0,0,0,3
az,04003002002,04021001408,7,8,10,10,0,0,0,2
az,04005000100,04005001201,1,1,1,1,1,1,1,1
az,04005000100,04005002201,0,0,0,0,0,0,0,0
az,04005000200,04013050701,11,12,13,15,0,0,0,2
az,04005000301,04007000800,8,9,11,12,0,0,0,0
az,04005000302,04013614900,3,3,3,4,0,0,0,2
az,04005000500,04005000800,1,1,1,1,0,0,0,0
az,04005000602,04005000200,1,1,1,1,0,0,0,1
az,04005000700,04005000200,5,5,5,5,0,0,0,1
az,04005000800,04013110002,2,2,2,3,0,0,0,1
az,04005000902,04005000400,4,4,4,4,0,0,0,0
az,04005001000,04013614602,2,2,2,3,0,0,0,2
az,04005001104,04005000800,6,6,6,6,0,0,0,0
az,04005001104,04005001101,1,1,1,1,0,0,0,0
az,04005001104,04013318700,1,1,1,3,0,0,0,1
az,04005001201,04005002201,1,1,1,1,1,1,1,1
az,04005002102,04005942201,0,0,0,0,0,0,0,0
az,04005002201,04005000902,3,3,3,3,1,1,1,1
az,04005942201,04013117300,2,3,4,5,0,0,0,3
az,04005980100,04025001004,8,8,9,9,0,0,0,1
az,04007000400,04013523103,7,7,11,12,0,0,2,4
az,04007000600,04013422401,12,15,19,20,0,0,1,1
az,04007001100,04007001000,0,0,0,0,0,0,0,0
az,04007001100,04013113702,4,4,5,5,1,1,2,4
az,04009961300,04009961202,5,5,5,5,0,0,0,1
az,04009961400,04009961700,3,3,3,3,0,0,0,0
az,04009961600,04003000202,4,5,5,4,1,1,1,1
az,04011960300,04009961201,5,5,6,6,0,0,0,1
az,04011960300,04009961300,8,8,9,9,0,0,0,0
az,04013010102,04013216819,1,1,1,1,1,1,1,1
az,04013010103,04013619500,0,0,0,0,0,0,0,0
az,04013040502,04005001602,6,6,6,6,3,3,3,3
az,04013040523,04013103208,5,7,10,11,0,0,0,2
az,04013040528,04013061045,0,0,0,0,0,0,0,0
az,04013040529,04013114100,1,1,1,2,0,0,0,1
az,04013040532,04013613601,2,2,2,2,0,0,0,0
