state,n,commuters,mean_cameras,pct_ge1,pct_ge1_lo,pct_ge1_hi,pct_zero_after,median_extra_min,median_overhead_pct,cameras_per_km,median_km
ga,1182,4190313,11.7814,91.8987,90.2952,93.4066,54.2616,7.7761,25.7381,0.2235,31.2434
il,1188,5291588,9.1571,90.5597,88.8701,92.1408,90.4762,3.37,15.1205,0.2155,22.6144
ny,1194,8092715,7.4226,80.7531,78.6785,82.9987,62.8452,2.4234,12.1879,0.1879,17.0576
ca,1171,16821903,7.3518,86.6781,84.6285,88.6422,80.7857,2.3978,8.8016,0.1085,25.8643
tx,1176,12366006,6.8861,84.8639,82.7381,86.9048,81.2075,2.2631,10.1436,0.0914,28.8
fl,1170,8799948,6.247,86.2862,84.3404,88.2056,71.2947,2.628,9.9329,0.0957,25.1281
oh,1195,4842915,5.2529,84.7245,82.583,86.6444,81.8865,2.8142,10.8525,0.115,21.8513
mo,1182,2391848,5.0856,82.9698,80.9045,85.1297,81.2919,2.6829,10.9545,0.0913,25.7904
al,1159,1793994,4.7562,79.6249,77.1985,81.8723,82.3529,2.8264,9.1386,0.0788,27.9695
in,1176,2723540,4.7187,81.0243,78.6675,83.3757,92.6952,3.1646,13.2685,0.1082,22.2217
va,1171,3297626,4.6491,73.5094,70.8933,76.1092,86.1158,1.1549,4.5211,0.0929,22.5044
mi,1190,3794693,4.6127,72.8416,70.4448,75.3356,94.7192,1.7036,6.4592,0.0905,26.4621
la,1116,1677387,4.5893,78.6667,76.2112,81.0788,68.1778,3.5536,14.094,0.0827,23.0936
sc,1159,1928984,4.5882,76.0443,73.5816,78.4801,83.1202,2.1171,7.0169,0.0833,25.8488
ct,1183,1409066,4.3806,72.788,70.2567,75.3334,93.1553,1.3398,6.5475,0.1503,20.3915
ks,1166,1084834,4.2958,77.6471,75.1898,79.9836,89.6639,1.7718,8.9239,0.078,21.121
nm,994,716569,4.1907,74.6109,71.7498,77.3569,83.1712,1.4115,6.9411,0.0723,16.5291
co,1117,2539994,3.8634,79.7693,77.3649,82.0286,89.1748,1.7747,7.4056,0.0867,21.7172
ky,1160,1611129,3.5076,73.6041,71.0657,76.2827,87.5635,1.672,5.6984,0.063,24.8274
pa,1178,5158852,3.5063,60.1688,57.2996,62.9225,94.8523,0.3704,1.2603,0.0776,21.131
az,1150,2877827,3.4723,72.7036,70.1884,75.2166,93.2409,1.1037,4.6402,0.0756,26.2688
nc,1179,4209666,3.4567,66.3583,63.6512,69.3349,88.2254,0.9383,2.7497,0.0588,28.7252
tn,1182,2749541,3.3091,73.8513,71.2243,76.2988,85.2966,1.6443,4.3298,0.0601,25.4962
ut,1091,1492551,3.2329,81.1151,78.7901,83.3786,95.6835,1.7128,8.3615,0.0772,20.8113
nj,1184,3525339,3.2007,67.5063,64.7993,70.2864,92.3594,0.7616,3.1328,0.0959,22.3898
ri,1142,381444,3.06,81.4167,79.0396,83.7483,83.6667,1.4628,10.5401,0.1668,14.0001
wi,1176,2526627,2.9975,71.7045,69.1662,74.2669,92.8631,1.5156,6.8937,0.0614,22.719
ar,1146,1064256,2.836,67.3675,64.5972,70.2454,92.5988,1.0919,3.7134,0.0461,26.9309
ms,1125,973548,2.7868,61.3014,58.3969,64.218,89.3836,0.6725,1.8181,0.0494,26.5968
ma,1187,3118754,2.5795,65.4331,62.6362,68.2927,91.5055,0.6066,2.8842,0.0861,19.3693
nv,1132,1334669,2.5125,65.1763,62.3811,67.9593,95.4428,0.4624,2.3817,0.0575,17.1274
wa,1145,3187068,2.5047,63.9344,61.1203,66.4944,92.1484,0.4949,1.5746,0.0464,22.6531
nd,977,297104,2.3485,45.9072,42.4691,49.2285,99.4937,0.0,0.0,0.0335,14.6988
de,1104,337017,2.3367,68.6667,65.6976,71.5249,91.6667,0.8078,4.0631,0.082,17.8106
id,1007,689596,2.2659,55.5658,52.2283,58.8943,94.9402,0.2475,1.232,0.0406,17.076
mn,1163,2492596,2.262,62.0456,59.1061,64.8604,95.2663,0.3915,1.4642,0.0539,23.3875
ok,1168,1426511,2.1949,68.3544,65.7379,71.0059,96.1181,0.4055,1.0503,0.0409,25.8436
md,1183,2129852,1.8605,49.7479,46.8803,52.5653,90.3361,0.0,0.0,0.0548,23.721
ia,1150,1266563,1.6287,52.9958,50.0408,55.8481,96.7089,0.0,0.0,0.029,23.8524
ne,1125,799847,1.2857,46.1735,43.4043,49.2347,98.7245,0.0,0.0,0.0343,15.1915
wv,1118,522955,1.1398,34.048,31.2391,37.0377,93.3962,0.0,0.0,0.0182,31.4177
dc,1032,198753,0.9333,49.4167,46.2351,52.6405,92.5833,0.0,0.0,0.1548,5.4677
sd,906,333713,0.8059,41.2399,37.8945,44.8029,99.7305,0.0,0.0,0.0137,16.566
or,1133,1680697,0.7155,35.3859,32.6105,38.1488,98.8725,0.0,0.0,0.0154,20.4669
hi,835,548036,0.5824,31.4534,28.1488,34.8014,95.8785,0.0,0.0,0.0357,10.8901
me,1066,518319,0.5593,26.178,23.6378,28.7931,98.9529,0.0,0.0,0.0116,27.0193
wy,656,198447,0.5058,22.9543,19.2734,26.5845,92.6674,0.0,0.0,0.0065,15.1807
mt,789,398923,0.2215,11.8077,9.213,14.5106,99.8955,0.0,0.0,0.003,15.5542
nh,1105,523874,0.2105,14.7541,12.6722,16.8954,100.0,0.0,0.0,0.0058,25.7719
vt,940,226420,0.0789,5.4078,3.9722,6.8999,100.0,0.0,0.0,0.0019,24.934
ak,608,258262,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.6466
