date,state,cameras,per_100k
2024-01-01,ak,0,0.0
2024-01-01,al,1,0.02
2024-01-01,ar,0,0.0
2024-01-01,az,0,0.0
2024-01-01,ca,67,0.17
2024-01-01,co,0,0.0
2024-01-01,ct,0,0.0
2024-01-01,dc,0,0.0
2024-01-01,de,0,0.0
2024-01-01,fl,54,0.25
2024-01-01,ga,27,0.25
2024-01-01,hi,0,0.0
2024-01-01,ia,0,0.0
2024-01-01,id,0,0.0
2024-01-01,il,317,2.48
2024-01-01,in,5,0.07
2024-01-01,ks,18,0.61
2024-01-01,ky,1,0.02
2024-01-01,la,0,0.0
2024-01-01,ma,77,1.1
2024-01-01,md,2,0.03
2024-01-01,me,2,0.15
2024-01-01,mi,38,0.38
2024-01-01,mn,1,0.02
2024-01-01,mo,1,0.02
2024-01-01,ms,0,0.0
2024-01-01,mt,0,0.0
2024-01-01,nc,2,0.02
2024-01-01,nd,0,0.0
2024-01-01,ne,0,0.0
2024-01-01,nh,20,1.45
2024-01-01,nj,12,0.13
2024-01-01,nm,1,0.05
2024-01-01,nv,0,0.0
2024-01-01,ny,61,0.31
2024-01-01,oh,267,2.27
2024-01-01,ok,47,1.18
2024-01-01,or,0,0.0
2024-01-01,pa,24,0.18
2024-01-01,ri,0,0.0
2024-01-01,sc,0,0.0
2024-01-01,sd,0,0.0
2024-01-01,tn,0,0.0
2024-01-01,tx,61,0.21
2024-01-01,ut,0,0.0
2024-01-01,va,3,0.03
2024-01-01,vt,0,0.0
2024-01-01,wa,3,0.04
2024-01-01,wi,0,0.0
2024-01-01,wv,0,0.0
2024-01-01,wy,0,0.0
2024-07-01,ak,0,0.0
2024-07-01,al,1,0.02
2024-07-01,ar,2,0.07
2024-07-01,az,0,0.0
2024-07-01,ca,127,0.32
2024-07-01,co,0,0.0
2024-07-01,ct,0,0.0
2024-07-01,dc,0,0.0
2024-07-01,de,0,0.0
2024-07-01,fl,56,0.26
2024-07-01,ga,28,0.26
2024-07-01,hi,0,0.0
2024-07-01,ia,0,0.0
2024-07-01,id,0,0.0
