state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
oh,39035174205,39035134203,8,0.0000016519,41.4092354,-81.9089853,41.3773793,-81.8795904,63455.0,4746.0,3668.0,103.0,693.0,5.8514,8.6807,0,5.8514,8.6807,0,0.0,0.0,0
ca,06037571701,06037311601,3,0.0000001783,33.847882,-118.199443,34.1535332,-118.334357,77409.0,6655.0,634.0,729.0,4823.0,45.8607,32.3602,0,45.8607,32.3602,0,0.0,0.0,0
nc,37101041111,37183052701,101,0.0000239924,35.6307823,-78.5473406,35.8339214,-78.6206175,61994.0,3682.0,2044.0,1189.0,408.0,34.8754,23.8463,0,34.8754,23.8463,0,0.0,0.0,0
oh,39017010103,39017010104,486,0.0001003528,39.4917485,-84.7561403,39.5070402,-84.7345237,70357.0,5536.0,4669.0,255.0,80.0,3.855,4.5582,0,3.855,4.5582,0,0.0,0.0,0
ny,36055012202,36055011901,21,0.0000025949,43.092052,-77.4935182,43.1129564,-77.4585563,110800.0,3766.0,3191.0,320.0,86.0,4.8141,6.0855,0,4.8141,6.0855,0,0.0,0.0,0
co,08059011101,08031004308,8,0.0000031496,39.7325308,-105.1017729,39.7297392,-104.9357473,69225.0,3656.0,2292.0,14.0,793.0,15.4999,16.1092,0,15.4999,16.1092,0,0.0,0.0,0
pa,42043021903,42043020100,172,0.0000333408,40.2997364,-76.8601816,40.2575579,-76.8817265,76663.0,3479.0,1480.0,1068.0,332.0,6.9403,8.5347,0,6.9403,8.5347,0,0.0,0.0,0
ny,36067011600,36067003200,116,0.0000143339,43.1708754,-76.3420149,43.0478234,-76.1503626,98828.0,5509.0,4940.0,4.0,149.0,22.1399,18.7439,0,22.1399,18.7439,0,0.0,0.0,0
tn,47065011205,47065003100,237,0.0000861962,35.1374052,-85.0479717,35.0490212,-85.310006,107747.0,8079.0,7188.0,500.0,286.0,32.7584,32.014,0,32.7584,32.014,0,0.0,0.0,0
nc,37057060203,37067003309,11,0.0000026130,35.9486797,-80.2279086,36.089206,-80.1737012,74167.0,6310.0,5581.0,321.0,336.0,22.069,19.7166,0,22.069,19.7166,0,0.0,0.0,0
ny,36005028800,36005024800,6,0.0000007414,40.8542921,-73.8514721,40.8553409,-73.8584097,86757.0,2784.0,1602.0,233.0,321.0,1.0082,1.6803,0,1.0082,1.6803,0,0.0,0.0,0
wa,53033024703,53033009300,57,0.0000178848,47.5280151,-122.1851357,47.5771253,-122.330936,192898.0,3917.0,2149.0,71.0,39.0,21.013,18.5458,0,21.013,18.5458,0,0.0,0.0,0
il,17171970600,17081050700,1,0.0000001890,39.7056011,-90.5162334,38.363773,-88.9157612,77614.0,1721.0,1599.0,0.0,53.0,257.4861,212.0593,0,257.4861,212.0593,0,0.0,0.0,0
nc,37081011102,37081010601,12,0.0000028506,36.0534918,-79.7574125,36.0677177,-79.8389825,44300.0,2311.0,51.0,1915.0,184.0,9.0631,10.5727,0,9.0631,10.5727,0,0.0,0.0,0
mo,29099700206,29510114102,18,0.0000075256,38.4121973,-90.5052113,38.5892969,-90.2975907,65829.0,5161.0,4619.0,0.0,207.0,34.4177,33.6911,0,34.4177,33.6911,0,0.0,0.0,0
mo,29145020900,29145020501,30,0.0000125426,36.8860124,-94.2531927,37.0338034,-94.4733359,51346.0,4221.0,3732.0,15.0,53.0,35.3312,38.9819,0,35.3312,38.9819,0,0.0,0.0,0
tn,47037019121,47157004200,2,0.0000007274,36.0230594,-86.6995486,35.1482118,-90.0584855,88977.0,3541.0,2540.0,409.0,223.0,343.937,221.8845,0,343.937,221.8845,0,0.0,0.0,0
va,51107611810,51107611026,18,0.0000054585,38.9401988,-77.5903265,38.9742669,-77.5389276,237677.0,7353.0,3995.0,141.0,548.0,8.7368,9.5088,0,8.7368,9.5088,0,0.0,0.0,0
va,51153901234,51153901219,13,0.0000039422,38.647253,-77.4083755,38.7037005,-77.3683537,186400.0,2986.0,1798.0,294.0,460.0,10.3101,12.9466,0,10.3101,12.9466,0,0.0,0.0,0
mo,29077001301,29077002600,20,0.0000083617,37.1634067,-93.2857277,37.1598809,-93.2515731,45280.0,2514.0,1778.0,178.0,199.0,3.5409,4.073,0,3.5409,4.073,0,0.0,0.0,0
co,08059009815,08014030400,2,0.0000007874,39.8511631,-105.1322054,39.9360047,-105.0693068,157344.0,5328.0,4459.0,0.0,485.0,14.684,16.0733,0,14.684,16.0733,0,0.0,0.0,0
tn,47037017901,47037016500,334,0.0001214748,36.108281,-86.8271572,36.1456055,-86.80501,114735.0,5739.0,4878.0,117.0,76.0,6.4339,7.3766,0,6.4339,7.3766,0,0.0,0.0,0
fl,12071050317,12071050601,8,0.0000009091,26.3539683,-81.801712,26.3286577,-81.8185864,56383.0,2855.0,2159.0,6.0,554.0,5.407,5.833,0,5.407,5.833,0,0.0,0.0,0
ga,13117130406,13117130509,26,0.0000062048,34.1768153,-84.1672478,34.1990018,-84.1097848,108760.0,7006.0,3856.0,378.0,1554.0,9.0531,9.8271,0,9.0531,9.8271,0,0.0,0.0,0
nc,37063002035,37063002200,193,0.0000458469,35.9341953,-78.8821254,35.9994119,-78.9017906,83836.0,6561.0,2534.0,2735.0,522.0,8.2829,10.4276,0,8.2829,10.4276,0,0.0,0.0,0
nc,37183052811,37183053003,51,0.0000121150,35.75106,-78.557097,35.7491524,-78.7480848,57453.0,9740.0,752.0,5531.0,2889.0,21.3945,18.3429,0,21.3945,18.3429,0,0.0,0.0,0
tn,47037019200,47187050304,52,0.0000189122,36.1711529,-86.7520191,36.0276458,-86.8024746,92500.0,3750.0,2604.0,847.0,33.0,19.8606,16.0441,0,19.8606,16.0441,0,0.0,0.0,0
