month,state,mapped_alpr
2023-01,ak,0
2023-01,al,1
2023-01,ar,0
2023-01,az,0
2023-01,ca,41
2023-01,co,0
2023-01,ct,0
2023-01,dc,0
2023-01,de,0
2023-01,fl,0
2023-01,ga,27
2023-01,hi,0
2023-01,ia,0
2023-01,id,0
2023-01,il,6
2023-01,in,1
2023-01,ks,0
2023-01,ky,1
2023-01,la,0
2023-01,ma,69
2023-01,md,2
2023-01,me,2
2023-01,mi,3
2023-01,mn,1
2023-01,mo,1
2023-01,ms,0
2023-01,mt,0
2023-01,nc,1
2023-01,nd,0
2023-01,ne,0
2023-01,nh,20
2023-01,nj,1
2023-01,nm,1
2023-01,nv,0
2023-01,ny,0
2023-01,oh,171
2023-01,ok,0
2023-01,or,0
2023-01,pa,2
2023-01,ri,0
2023-01,sc,0
2023-01,sd,0
2023-01,tn,0
2023-01,tx,0
2023-01,ut,0
2023-01,va,3
2023-01,vt,0
2023-01,wa,3
2023-01,wi,0
2023-01,wv,0
2023-01,wy,0
2023-02,ak,0
2023-02,al,1
2023-02,ar,0
2023-02,az,0
2023-02,ca,47
2023-02,co,0
2023-02,ct,0
2023-02,dc,0
2023-02,de,0
2023-02,fl,0
2023-02,ga,27
2023-02,hi,0
2023-02,ia,0
2023-02,id,0
2023-02,il,6
2023-02,in,2
2023-02,ks,14
2023-02,ky,1
2023-02,la,0
2023-02,ma,69
2023-02,md,2
2023-02,me,2
2023-02,mi,3
2023-02,mn,1
2023-02,mo,1
2023-02,ms,0
2023-02,mt,0
2023-02,nc,1
2023-02,nd,0
2023-02,ne,0
2023-02,nh,20
2023-02,nj,1
2023-02,nm,1
2023-02,nv,0
2023-02,ny,0
2023-02,oh,171
2023-02,ok,0
2023-02,or,0
2023-02,pa,2
2023-02,ri,0
2023-02,sc,0
2023-02,sd,0
2023-02,tn,0
2023-02,tx,0
2023-02,ut,0
2023-02,va,3
2023-02,vt,0
2023-02,wa,3
2023-02,wi,0
2023-02,wv,0
2023-02,wy,0
2023-03,ak,0
2023-03,al,1
2023-03,ar,0
2023-03,az,0
2023-03,ca,47
2023-03,co,0
2023-03,ct,0
2023-03,dc,0
2023-03,de,0
2023-03,fl,0
2023-03,ga,27
2023-03,hi,0
2023-03,ia,0
2023-03,id,0
2023-03,il,6
2023-03,in,2
2023-03,ks,14
2023-03,ky,1
2023-03,la,0
2023-03,ma,69
2023-03,md,2
2023-03,me,2
2023-03,mi,3
2023-03,mn,1
2023-03,mo,1
2023-03,ms,0
2023-03,mt,0
2023-03,nc,1
2023-03,nd,0
2023-03,ne,0
2023-03,nh,20
2023-03,nj,1
2023-03,nm,1
2023-03,nv,0
2023-03,ny,0
2023-03,oh,171
2023-03,ok,0
2023-03,or,0
2023-03,pa,2
2023-03,ri,0
2023-03,sc,0
2023-03,sd,0
2023-03,tn,0
2023-03,tx,0
2023-03,ut,0
2023-03,va,3
2023-03,vt,0
2023-03,wa,3
2023-03,wi,0
2023-03,wv,0
2023-03,wy,0
2023-04,ak,0
2023-04,al,1
2023-04,ar,0
2023-04,az,0
2023-04,ca,47
2023-04,co,0
2023-04,ct,0
2023-04,dc,0
2023-04,de,0
2023-04,fl,0
2023-04,ga,27
2023-04,hi,0
2023-04,ia,0
2023-04,id,0
2023-04,il,24
2023-04,in,2
2023-04,ks,14
2023-04,ky,1
2023-04,la,0
2023-04,ma,69
2023-04,md,2
2023-04,me,2
2023-04,mi,3
2023-04,mn,1
2023-04,mo,1
2023-04,ms,0
2023-04,mt,0
2023-04,nc,1
2023-04,nd,0
2023-04,ne,0
2023-04,nh,20
2023-04,nj,1
2023-04,nm,1
2023-04,nv,0
2023-04,ny,0
2023-04,oh,176
2023-04,ok,0
2023-04,or,0
2023-04,pa,15
2023-04,ri,0
2023-04,sc,0
2023-04,sd,0
2023-04,tn,0
2023-04,tx,0
2023-04,ut,0
2023-04,va,3
2023-04,vt,0
2023-04,wa,3
2023-04,wi,0
2023-04,wv,0
2023-04,wy,0
2023-05,ak,0
2023-05,al,1
2023-05,ar,0
2023-05,az,0
2023-05,ca,47
2023-05,co,0
2023-05,ct,0
2023-05,dc,0
2023-05,de,0
2023-05,fl,0
2023-05,ga,27
2023-05,hi,0
2023-05,ia,0
2023-05,id,0
2023-05,il,40
2023-05,in,2
2023-05,ks,14
2023-05,ky,1
2023-05,la,0
2023-05,ma,69
2023-05,md,2
2023-05,me,2
2023-05,mi,3
2023-05,mn,1
2023-05,mo,1
2023-05,ms,0
2023-05,mt,0
2023-05,nc,2
2023-05,nd,0
2023-05,ne,0
2023-05,nh,20
2023-05,nj,1
2023-05,nm,1
2023-05,nv,0
2023-05,ny,8
2023-05,oh,229
2023-05,ok,0
2023-05,or,0
2023-05,pa,24
2023-05,ri,0
2023-05,sc,0
2023-05,sd,0
2023-05,tn,0
2023-05,tx,0
2023-05,ut,0
2023-05,va,3
2023-05,vt,0
2023-05,wa,3
2023-05,wi,0
2023-05,wv,0
2023-05,wy,0
2023-06,ak,0
2023-06,al,1
2023-06,ar,0
2023-06,az,0
2023-06,ca,47
2023-06,co,0
2023-06,ct,0
2023-06,dc,0
2023-06,de,0
2023-06,fl,1
2023-06,ga,27
2023-06,hi,0
2023-06,ia,0
2023-06,id,0
2023-06,il,66
2023-06,in,2
2023-06,ks,18
2023-06,ky,1
2023-06,la,0
2023-06,ma,69
2023-06,md,2
2023-06,me,2
2023-06,mi,3
2023-06,mn,1
2023-06,mo,1
2023-06,ms,0
2023-06,mt,0
2023-06,nc,2
2023-06,nd,0
2023-06,ne,0
2023-06,nh,20
2023-06,nj,1
2023-06,nm,1
2023-06,nv,0
2023-06,ny,8
2023-06,oh,241
2023-06,ok,0
2023-06,or,0
2023-06,pa,24
2023-06,ri,0
2023-06,sc,0
2023-06,sd,0
2023-06,tn,0
2023-06,tx,0
2023-06,ut,0
2023-06,va,3
2023-06,vt,0
2023-06,wa,3
2023-06,wi,0
2023-06,wv,0
2023-06,wy,0
2023-07,ak,0
2023-07,al,1
2023-07,ar,0
2023-07,az,0
2023-07,ca,47
2023-07,co,0
2023-07,ct,0
2023-07,dc,0
2023-07,de,0
2023-07,fl,1
2023-07,ga,27
2023-07,hi,0
2023-07,ia,0
2023-07,id,0
2023-07,il,98
2023-07,in,3
2023-07,ks,18
2023-07,ky,1
2023-07,la,0
2023-07,ma,77
2023-07,md,2
2023-07,me,2
2023-07,mi,3
2023-07,mn,1
2023-07,mo,1
2023-07,ms,0
2023-07,mt,0
2023-07,nc,2
2023-07,nd,0
2023-07,ne,0
2023-07,nh,20
2023-07,nj,9
2023-07,nm,1
2023-07,nv,0
2023-07,ny,61
2023-07,oh,243
2023-07,ok,9
2023-07,or,0
2023-07,pa,24
2023-07,ri,0
2023-07,sc,0
2023-07,sd,0
2023-07,tn,0
2023-07,tx,0
2023-07,ut,0
2023-07,va,3
2023-07,vt,0
2023-07,wa,3
2023-07,wi,0
2023-07,wv,0
2023-07,wy,0
2023-08,ak,0
2023-08,al,1
2023-08,ar,0
2023-08,az,0
2023-08,ca,47
2023-08,co,0
2023-08,ct,0
2023-08,dc,0
2023-08,de,0
2023-08,fl,1
2023-08,ga,27
2023-08,hi,0
2023-08,ia,0
2023-08,id,0
2023-08,il,118
2023-08,in,3
2023-08,ks,18
2023-08,ky,1
2023-08,la,0
2023-08,ma,77
2023-08,md,2
2023-08,me,2
2023-08,mi,17
2023-08,mn,1
2023-08,mo,1
2023-08,ms,0
2023-08,mt,0
2023-08,nc,2
2023-08,nd,0
2023-08,ne,0
2023-08,nh,20
2023-08,nj,9
2023-08,nm,1
2023-08,nv,0
2023-08,ny,61
2023-08,oh,252
2023-08,ok,22
2023-08,or,0
2023-08,pa,24
2023-08,ri,0
2023-08,sc,0
2023-08,sd,0
2023-08,tn,0
2023-08,tx,8
2023-08,ut,0
2023-08,va,3
2023-08,vt,0
2023-08,wa,3
2023-08,wi,0
2023-08,wv,0
2023-08,wy,0
2023-09,ak,0
2023-09,al,1
2023-09,ar,0
2023-09,az,0
2023-09,ca,49
2023-09,co,0
2023-09,ct,0
2023-09,dc,0
2023-09,de,0
2023-09,fl,27
2023-09,ga,27
2023-09,hi,0
2023-09,ia,0
2023-09,id,0
2023-09,il,173
2023-09,in,5
2023-09,ks,18
2023-09,ky,1
2023-09,la,0
2023-09,ma,77
2023-09,md,2
2023-09,me,2
2023-09,mi,30
2023-09,mn,1
2023-09,mo,1
2023-09,ms,0
2023-09,mt,0
2023-09,nc,2
2023-09,nd,0
2023-09,ne,0
2023-09,nh,20
2023-09,nj,9
2023-09,nm,1
2023-09,nv,0
2023-09,ny,61
2023-09,oh,252
2023-09,ok,35
2023-09,or,0
2023-09,pa,24
2023-09,ri,0
2023-09,sc,0
2023-09,sd,0
2023-09,tn,0
2023-09,tx,8
2023-09,ut,0
2023-09,va,3
2023-09,vt,0
2023-09,wa,3
2023-09,wi,0
2023-09,wv,0
2023-09,wy,0
2023-10,ak,0
2023-10,al,1
2023-10,ar,0
2023-10,az,0
2023-10,ca,51
2023-10,co,0
2023-10,ct,0
2023-10,dc,0
2023-10,de,0
2023-10,fl,39
2023-10,ga,27
2023-10,hi,0
2023-10,ia,0
2023-10,id,0
2023-10,il,210
2023-10,in,5
2023-10,ks,18
2023-10,ky,1
2023-10,la,0
2023-10,ma,77
2023-10,md,2
2023-10,me,2
2023-10,mi,30
2023-10,mn,1
2023-10,mo,1
2023-10,ms,0
2023-10,mt,0
2023-10,nc,2
2023-10,nd,0
2023-10,ne,0
2023-10,nh,20
2023-10,nj,9
2023-10,nm,1
2023-10,nv,0
2023-10,ny,61
2023-10,oh,252
2023-10,ok,35
2023-10,or,0
2023-10,pa,24
2023-10,ri,0
2023-10,sc,0
2023-10,sd,0
2023-10,tn,0
2023-10,tx,10
2023-10,ut,0
2023-10,va,3
2023-10,vt,0
2023-10,wa,3
2023-10,wi,0
2023-10,wv,0
2023-10,wy,0
2023-11,ak,0
2023-11,al,1
2023-11,ar,0
2023-11,az,0
2023-11,ca,55
2023-11,co,0
2023-11,ct,0
2023-11,dc,0
2023-11,de,0
2023-11,fl,40
2023-11,ga,27
2023-11,hi,0
2023-11,ia,0
2023-11,id,0
2023-11,il,284
2023-11,in,5
2023-11,ks,18
2023-11,ky,1
2023-11,la,0
2023-11,ma,77
2023-11,md,2
2023-11,me,2
2023-11,mi,38
2023-11,mn,1
2023-11,mo,1
2023-11,ms,0
2023-11,mt,0
2023-11,nc,2
2023-11,nd,0
2023-11,ne,0
2023-11,nh,20
2023-11,nj,12
2023-11,nm,1
2023-11,nv,0
2023-11,ny,61
2023-11,oh,263
2023-11,ok,35
2023-11,or,0
2023-11,pa,24
2023-11,ri,0
2023-11,sc,0
2023-11,sd,0
2023-11,tn,0
2023-11,tx,10
2023-11,ut,0
2023-11,va,3
2023-11,vt,0
2023-11,wa,3
2023-11,wi,0
2023-11,wv,0
2023-11,wy,0
2023-12,ak,0
2023-12,al,1
2023-12,ar,0
2023-12,az,0
2023-12,ca,61
2023-12,co,0
2023-12,ct,0
2023-12,dc,0
2023-12,de,0
2023-12,fl,40
2023-12,ga,27
2023-12,hi,0
2023-12,ia,0
2023-12,id,0
2023-12,il,310
2023-12,in,5
2023-12,ks,18
2023-12,ky,1
2023-12,la,0
2023-12,ma,77
2023-12,md,2
2023-12,me,2
2023-12,mi,38
2023-12,mn,1
2023-12,mo,1
2023-12,ms,0
2023-12,mt,0
2023-12,nc,2
2023-12,nd,0
2023-12,ne,0
2023-12,nh,20
2023-12,nj,12
2023-12,nm,1
2023-12,nv,0
2023-12,ny,61
2023-12,oh,263
2023-12,ok,39
2023-12,or,0
2023-12,pa,24
2023-12,ri,0
2023-12,sc,0
2023-12,sd,0
2023-12,tn,0
2023-12,tx,10
2023-12,ut,0
2023-12,va,3
2023-12,vt,0
2023-12,wa,3
2023-12,wi,0
2023-12,wv,0
2023-12,wy,0
2024-01,ak,0
2024-01,al,1
2024-01,ar,0
2024-01,az,0
2024-01,ca,62
2024-01,co,0
2024-01,ct,0
2024-01,dc,0
2024-01,de,0
2024-01,fl,52
2024-01,ga,27
2024-01,hi,0
2024-01,ia,0
2024-01,id,0
2024-01,il,317
2024-01,in,5
2024-01,ks,18
2024-01,ky,1
2024-01,la,0
2024-01,ma,77
2024-01,md,2
2024-01,me,2
2024-01,mi,38
2024-01,mn,1
2024-01,mo,1
2024-01,ms,0
2024-01,mt,0
2024-01,nc,2
2024-01,nd,0
2024-01,ne,0
2024-01,nh,20
2024-01,nj,12
2024-01,nm,1
2024-01,nv,0
2024-01,ny,61
2024-01,oh,263
2024-01,ok,47
