state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
ak,02020000201,02020001602,0,0,0,0,0,0,0,0
ak,02020000201,02020001900,0,0,0,0,0,0,0,0
ak,02020000201,02020002302,0,0,0,0,0,0,0,0
ak,02020000201,02020002601,0,0,0,0,0,0,0,0
ak,02020000202,02020000201,0,0,0,0,0,0,0,0
ak,02020000202,02020000206,0,0,0,0,0,0,0,0
ak,02020000202,02020001100,0,0,0,0,0,0,0,0
ak,02020000202,02020001401,0,0,0,0,0,0,0,0
ak,02020000202,02020001601,0,0,0,0,0,0,0,0
ak,02020000202,02020001602,0,0,0,0,0,0,0,0
ak,02020000202,02020001900,0,0,0,0,0,0,0,0
ak,02020000202,02020002501,0,0,0,0,0,0,0,0
ak,02020000202,02020002601,0,0,0,0,0,0,0,0
ak,02020000202,02170001202,0,0,0,0,0,0,0,0
ak,02020000205,02020001100,0,0,0,0,0,0,0,0
ak,02020000205,02020001602,0,0,0,0,0,0,0,0
ak,02020000205,02020001701,0,0,0,0,0,0,0,0
ak,02020000205,02020001702,0,0,0,0,0,0,0,0
ak,02020000205,02020001731,0,0,0,0,0,0,0,0
ak,02020000205,02020001900,0,0,0,0,0,0,0,0
ak,02020000205,02020002000,0,0,0,0,0,0,0,0
ak,02020000205,02020002501,0,0,0,0,0,0,0,0
ak,02020000205,02090001000,0,0,0,0,0,0,0,0
ak,02020000206,02020001100,0,0,0,0,0,0,0,0
ak,02020000206,02020001500,0,0,0,0,0,0,0,0
ak,02020000206,02020001900,0,0,0,0,0,0,0,0
ak,02020000206,02020002712,0,0,0,0,0,0,0,0
ak,02020000500,02020001402,0,0,0,0,0,0,0,0
ak,02020000500,02020001900,0,0,0,0,0,0,0,0
ak,02020000500,02020002502,0,0,0,0,0,0,0,0
ak,02020000601,02020000701,0,0,0,0,0,0,0,0
ak,02020000601,02020001701,0,0,0,0,0,0,0,0
ak,02020000601,02020001801,0,0,0,0,0,0,0,0
ak,02020000601,02122000702,0,0,0,0,0,0,0,0
ak,02020000601,02170001201,0,0,0,0,0,0,0,0
ak,02020000602,02020000202,0,0,0,0,0,0,0,0
ak,02020000602,02020000901,0,0,0,0,0,0,0,0
ak,02020000602,02020001602,0,0,0,0,0,0,0,0
ak,02020000602,02020001701,0,0,0,0,0,0,0,0
ak,02020000602,02020001900,0,0,0,0,0,0,0,0
ak,02020000602,02020002712,0,0,0,0,0,0,0,0
ak,02020000701,02020000702,0,0,0,0,0,0,0,0
ak,02020000701,02020000901,0,0,0,0,0,0,0,0
ak,02020000701,02020001000,0,0,0,0,0,0,0,0
ak,02020000701,02020001100,0,0,0,0,0,0,0,0
ak,02020000701,02020001401,0,0,0,0,0,0,0,0
ak,02020000701,02020001602,0,0,0,0,0,0,0,0
ak,02020000701,02020001701,0,0,0,0,0,0,0,0
ak,02020000701,02020001900,0,0,0,0,0,0,0,0
ak,02020000701,02020002100,0,0,0,0,0,0,0,0
ak,02020000701,02020002201,0,0,0,0,0,0,0,0
ak,02020000702,02020000601,0,0,0,0,0,0,0,0
ak,02020000702,02020001000,0,0,0,0,0,0,0,0
ak,02020000702,02020001100,0,0,0,0,0,0,0,0
ak,02020000702,02020001500,0,0,0,0,0,0,0,0
ak,02020000702,02020001701,0,0,0,0,0,0,0,0
ak,02020000702,02020001801,0,0,0,0,0,0,0,0
ak,02020000702,02020001900,0,0,0,0,0,0,0,0
ak,02020000702,02020002711,0,0,0,0,0,0,0,0
ak,02020000703,02020001100,0,0,0,0,0,0,0,0
ak,02020000703,02020001500,0,0,0,0,0,0,0,0
ak,02020000703,02020001732,0,0,0,0,0,0,0,0
ak,02020000703,02020002000,0,0,0,0,0,0,0,0
ak,02020000703,02020002501,0,0,0,0,0,0,0,0
ak,02020000703,02020002502,0,0,0,0,0,0,0,0
ak,02020000703,02020002712,0,0,0,0,0,0,0,0
ak,02020000703,02020002713,0,0,0,0,0,0,0,0
ak,02020000703,02020002811,0,0,0,0,0,0,0,0
ak,02020000703,02122000701,0,0,0,0,0,0,0,0
ak,02020000801,02020000500,0,0,0,0,0,0,0,0
ak,02020000801,02020001100,0,0,0,0,0,0,0,0
ak,02020000801,02020001401,0,0,0,0,0,0,0,0
ak,02020000801,02020001500,0,0,0,0,0,0,0,0
ak,02020000801,02020001701,0,0,0,0,0,0,0,0
ak,02020000801,02020002502,0,0,0,0,0,0,0,0
ak,02020000801,02020002712,0,0,0,0,0,0,0,0
ak,02020000801,02020002713,0,0,0,0,0,0,0,0
ak,02020000802,02020000702,0,0,0,0,0,0,0,0
ak,02020000802,02020001200,0,0,0,0,0,0,0,0
ak,02020000802,02020001601,0,0,0,0,0,0,0,0
ak,02020000802,02020001602,0,0,0,0,0,0,0,0
ak,02020000802,02020001701,0,0,0,0,0,0,0,0
ak,02020000802,02020001801,0,0,0,0,0,0,0,0
ak,02020000802,02020001900,0,0,0,0,0,0,0,0
ak,02020000802,02020002601,0,0,0,0,0,0,0,0
ak,02020000802,02170000800,0,0,0,0,0,0,0,0
ak,02020000901,02020000500,0,0,0,0,0,0,0,0
ak,02020000901,02020000601,0,0,0,0,0,0,0,0
ak,02020000901,02020001100,0,0,0,0,0,0,0,0
ak,02020000901,02020001401,0,0,0,0,0,0,0,0
ak,02020000901,02020001500,0,0,0,0,0,0,0,0
ak,02020000901,02020001601,0,0,0,0,0,0,0,0
ak,02020000901,02020001701,0,0,0,0,0,0,0,0
ak,02020000901,02020001900,0,0,0,0,0,0,0,0
ak,02020000901,02020002100,0,0,0,0,0,0,0,0
ak,02020000902,02020001401,0,0,0,0,0,0,0,0
ak,02020000902,02020001900,0,0,0,0,0,0,0,0
ak,02020000902,02020002501,0,0,0,0,0,0,0,0
ak,02020000902,02020002712,0,0,0,0,0,0,0,0
ak,02020001000,02020000602,0,0,0,0,0,0,0,0
ak,02020001000,02020001100,0,0,0,0,0,0,0,0
ak,02020001000,02020001200,0,0,0,0,0,0,0,0
ak,02020001000,02020001601,0,0,0,0,0,0,0,0
ak,02020001000,02020001602,0,0,0,0,0,0,0,0
ak,02020001000,02020001731,0,0,0,0,0,0,0,0
ak,02020001000,02020002713,0,0,0,0,0,0,0,0
ak,02020001100,02020002812,0,0,0,0,0,0,0,0
ak,02020001100,02020002822,0,0,0,0,0,0,0,0
ak,02020001200,02020000901,0,0,0,0,0,0,0,0
ak,02020001200,02020001401,0,0,0,0,0,0,0,0
ak,02020001200,02020001402,0,0,0,0,0,0,0,0
ak,02020001200,02020001602,0,0,0,0,0,0,0,0
ak,02020001200,02020001701,0,0,0,0,0,0,0,0
ak,02020001200,02020002302,0,0,0,0,0,0,0,0
ak,02020001200,02170001202,0,0,0,0,0,0,0,0
ak,02020001300,02020000601,0,0,0,0,0,0,0,0
ak,02020001300,02020001602,0,0,0,0,0,0,0,0
ak,02020001300,02020001900,0,0,0,0,0,0,0,0
ak,02020001300,02020002501,0,0,0,0,0,0,0,0
ak,02020001300,02020002712,0,0,0,0,0,0,0,0
ak,02020001401,02020000500,0,0,0,0,0,0,0,0
ak,02020001401,02020001100,0,0,0,0,0,0,0,0
ak,02020001401,02020001602,0,0,0,0,0,0,0,0
ak,02020001401,02020001701,0,0,0,0,0,0,0,0
ak,02020001401,02020001900,0,0,0,0,0,0,0,0
ak,02020001401,02020002712,0,0,0,0,0,0,0,0
ak,02020001401,02020002811,0,0,0,0,0,0,0,0
ak,02020001402,02020001000,0,0,0,0,0,0,0,0
ak,02020001402,02020001100,0,0,0,0,0,0,0,0
ak,02020001402,02020001602,0,0,0,0,0,0,0,0
ak,02020001402,02020001900,0,0,0,0,0,0,0,0
ak,02020001500,02020001000,0,0,0,0,0,0,0,0
ak,02020001500,02020001100,0,0,0,0,0,0,0,0
ak,02020001500,02020001602,0,0,0,0,0,0,0,0
ak,02020001500,02020001701,0,0,0,0,0,0,0,0
ak,02020001500,02020001900,0,0,0,0,0,0,0,0
ak,02020001500,02020002502,0,0,0,0,0,0,0,0
ak,02020001500,02020002821,0,0,0,0,0,0,0,0
ak,02020001601,02020000500,0,0,0,0,0,0,0,0
ak,02020001601,02020001100,0,0,0,0,0,0,0,0
ak,02020001601,02020001401,0,0,0,0,0,0,0,0
ak,02020001601,02020001602,0,0,0,0,0,0,0,0
ak,02020001601,02020001702,0,0,0,0,0,0,0,0
ak,02020001601,02020001731,0,0,0,0,0,0,0,0
ak,02020001601,02020001802,0,0,0,0,0,0,0,0
ak,02020001601,02020001900,0,0,0,0,0,0,0,0
ak,02020001601,02020002201,0,0,0,0,0,0,0,0
ak,02020001601,02020002501,0,0,0,0,0,0,0,0
ak,02020001601,02170001201,0,0,0,0,0,0,0,0
ak,02020001602,02020000601,0,0,0,0,0,0,0,0
ak,02020001602,02020001000,0,0,0,0,0,0,0,0
ak,02020001602,02020001100,0,0,0,0,0,0,0,0
ak,02020001602,02020001401,0,0,0,0,0,0,0,0
ak,02020001602,02020001801,0,0,0,0,0,0,0,0
ak,02020001602,02020001900,0,0,0,0,0,0,0,0
ak,02020001602,02020002100,0,0,0,0,0,0,0,0
ak,02020001602,02090000600,0,0,0,0,0,0,0,0
ak,02020001701,02020000901,0,0,0,0,0,0,0,0
ak,02020001701,02020001100,0,0,0,0,0,0,0,0
ak,02020001701,02020001602,0,0,0,0,0,0,0,0
ak,02020001701,02020002712,0,0,0,0,0,0,0,0
ak,02020001701,02020002900,0,0,0,0,0,0,0,0
ak,02020001702,02020000201,0,0,0,0,0,0,0,0
ak,02020001702,02020000601,0,0,0,0,0,0,0,0
ak,02020001702,02020000801,0,0,0,0,0,0,0,0
ak,02020001702,02020001401,0,0,0,0,0,0,0,0
ak,02020001702,02020001602,0,0,0,0,0,0,0,0
ak,02020001702,02020001900,0,0,0,0,0,0,0,0
ak,02020001702,02020002501,0,0,0,0,0,0,0,0
ak,02020001702,02020002502,0,0,0,0,0,0,0,0
ak,02020001702,02020002712,0,0,0,0,0,0,0,0
ak,02020001702,02020002713,0,0,0,0,0,0,0,0
ak,02020001702,02090001000,0,0,0,0,0,0,0,0
ak,02020001731,02020000801,0,0,0,0,0,0,0,0
ak,02020001731,02020001100,0,0,0,0,0,0,0,0
