state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
ga,13135050562,13135050238,25,0.0000059661,33.9670763,-84.0519796,34.0021646,-84.1059048,80615.0,4243.0,790.0,1318.0,1478.0,7.5428,8.7193,8,9.0051,13.0153,2,1.4622,4.296,6
ga,13121010519,13067031321,9,0.0000021478,33.5678602,-84.5973675,33.7658488,-84.5739412,61111.0,3605.0,350.0,2786.0,334.0,32.2173,32.7733,6,38.2525,43.156,0,6.0351,10.3827,6
ga,13089023319,13059150500,1,0.0000002386,33.7165726,-84.1608847,33.9253865,-83.3509708,71233.0,2928.0,58.0,2715.0,130.0,93.787,70.5329,12,102.4746,96.3867,0,8.6876,25.8537,12
ga,13135050425,13121010006,19,0.0000045343,33.8648078,-84.1325054,33.8527303,-84.3655717,101250.0,5267.0,2305.0,883.0,464.0,27.3338,27.3486,16,30.7836,32.2249,0,3.4499,4.8763,16
ga,13121011660,13121001002,3,0.0000007159,34.1041064,-84.2843746,33.7763564,-84.3995124,106268.0,4884.0,2266.0,505.0,195.0,43.2468,34.7593,10,44.7421,52.6254,2,1.4953,17.8662,8
ga,13157010601,13157010104,59,0.0000140801,34.0867051,-83.5102847,34.1819508,-83.695192,74188.0,5278.0,4193.0,483.0,395.0,23.3938,23.6744,5,28.2735,32.5387,0,4.8796,8.8643,5
ga,13299950801,13065970100,59,0.0000140801,31.0510787,-82.5362686,31.0667367,-82.7730713,60189.0,3350.0,2561.0,484.0,301.0,27.4564,37.6136,0,27.4564,37.6136,0,0.0,0.0,0
ga,13139000501,13045910502,1,0.0000002386,34.3489148,-83.80706,33.5854378,-85.0894038,59630.0,3811.0,2739.0,74.0,756.0,172.2182,123.392,20,193.0882,182.1259,2,20.87,58.7339,18
ga,13135050444,13089021229,1,0.0000002386,33.8906983,-84.1762055,33.9578887,-84.3342689,73363.0,3699.0,522.0,368.0,1538.0,20.8255,18.9623,10,29.5108,36.1918,1,8.6853,17.2295,9
ga,13045910202,13045910704,25,0.0000059661,33.7436308,-85.0007896,33.5649299,-84.9887971,80160.0,5832.0,3987.0,1383.0,290.0,32.7732,33.2044,6,29.4767,43.0134,0,-3.2965,9.809,6
ga,13135050758,13121010126,4,0.0000009546,33.8674968,-84.0065631,33.9437071,-84.3676156,75391.0,2818.0,1408.0,510.0,501.0,42.8322,38.5521,19,49.571,55.0153,1,6.7388,16.4632,18
ga,13067030369,13121010133,44,0.0000105004,33.9972369,-84.4288057,33.9256461,-84.3588799,204583.0,3494.0,2907.0,0.0,52.0,13.2119,14.5379,5,15.2857,20.0803,2,2.0738,5.5424,3
ga,13223120505,13067030508,30,0.0000071594,33.8516828,-84.8233657,33.9839024,-84.5213926,92639.0,7358.0,5298.0,1034.0,619.0,38.5831,38.9617,8,41.3198,46.4462,0,2.7367,7.4844,8
ga,13089021308,13051003301,1,0.0000002386,33.8758205,-84.2857255,32.0724559,-81.1244804,68162.0,3940.0,1004.0,271.0,1977.0,408.84,257.4417,61,430.7298,331.0756,1,21.8898,73.6339,60
ga,13217100203,13135050556,3,0.0000007159,33.4782514,-83.7861653,33.9495917,-84.0759979,72035.0,2865.0,2323.0,322.0,177.0,72.2993,71.9891,21,75.6443,93.1128,0,3.345,21.1238,21
ga,13255161000,13121010533,4,0.0000009546,33.2199733,-84.1709959,33.5717852,-84.5223247,65619.0,5806.0,4399.0,1097.0,125.0,62.8013,52.0848,8,64.1371,57.7649,2,1.3358,5.68,6
ga,13067031323,13123080301,2,0.0000004773,33.8059134,-84.6079351,34.6592707,-84.4871551,84981.0,2988.0,1293.0,946.0,459.0,113.4284,81.119,25,127.0107,125.3362,1,13.5822,44.2171,24
ga,13093970100,13153021502,5,0.0000011932,32.2290836,-83.7348936,32.3439463,-83.7193334,70852.0,5024.0,2291.0,2140.0,350.0,13.8551,17.9619,0,13.8551,17.9619,0,0.0,0.0,0
ga,13063040509,13121011647,5,0.0000011932,33.5825232,-84.4470958,34.0601602,-84.3172449,60912.0,4548.0,221.0,3877.0,403.0,63.7965,49.1764,6,63.8175,54.0577,2,0.021,4.8812,4
ga,13247060204,13117130410,1,0.0000002386,33.640022,-84.064081,34.1953261,-84.1634389,69811.0,4381.0,1199.0,2480.0,329.0,76.6521,73.2488,46,91.7692,100.8868,1,15.1171,27.6381,45
ga,13145120200,13215000200,3,0.0000007159,32.7946435,-84.7569323,32.5157014,-84.9639914,77938.0,3533.0,2830.0,419.0,20.0,43.73,44.1822,6,52.9781,49.9291,0,9.2481,5.7469,6
ga,13275961100,13275960501,38,0.0000090685,30.743521,-83.7994187,30.9066198,-83.9357084,54776.0,2513.0,1568.0,792.0,107.0,29.5891,30.8394,2,29.3009,33.1721,0,-0.2882,2.3327,2
ga,13157010105,13135050520,5,0.0000011932,34.1188724,-83.6852236,33.951591,-84.005563,93352.0,3456.0,3055.0,0.0,230.0,42.9859,36.9269,11,48.1249,55.6602,2,5.139,18.7333,9
ga,13139001102,13223120507,1,0.0000002386,34.2649877,-83.8564329,33.8802955,-84.7619618,76055.0,4775.0,498.0,91.0,4034.0,112.3391,82.6205,22,128.5258,123.9861,1,16.1867,41.3656,21
ga,13117130104,13117130105,23,0.0000054889,34.2724242,-83.9775635,34.2607618,-84.0421364,109801.0,4188.0,3428.0,294.0,264.0,10.0706,10.9657,0,10.0706,10.9657,0,0.0,0.0,0
ga,13153021401,13059000900,3,0.0000007159,32.4442398,-83.6933213,33.9517142,-83.4061238,46277.0,6203.0,4217.0,1163.0,294.0,195.1243,152.1053,17,222.1706,201.2758,0,27.0463,49.1705,17
ga,13009970600,13009970701,43,0.0000102618,33.0603143,-83.2492437,33.0627728,-83.2220991,38505.0,3579.0,1033.0,2360.0,0.0,3.6487,4.8202,0,3.6487,4.8202,0,0.0,0.0,0
ga,13115000204,13129970400,22,0.0000052502,34.3269121,-85.1556708,34.510977,-84.8857831,64307.0,4658.0,4133.0,238.0,237.0,41.8018,41.198,5,46.8402,46.3768,0,5.0384,5.1788,5
ga,13117130512,13121011652,84,0.0000200462,34.1563079,-84.1455519,34.089084,-84.239494,144313.0,3477.0,1598.0,0.0,317.0,14.6117,16.3936,3,15.7318,21.6232,0,1.1201,5.2296,3
ga,13105000300,13255160500,3,0.0000007159,34.0924148,-82.9321213,33.2694367,-84.3257575,60994.0,3783.0,1813.0,1694.0,119.0,181.9227,148.9595,28,202.6156,182.1697,3,20.6929,33.2102,25
ga,13121009405,13121007705,3,0.0000007159,33.8210234,-84.3680894,33.6827659,-84.4915645,74424.0,3769.0,1359.0,1405.0,159.0,22.3559,21.4223,5,22.5541,22.7024,0,0.1981,1.2801,5
ga,13195020400,13059130500,42,0.0000100231,34.0446042,-83.2353008,33.9580368,-83.4977546,70502.0,6387.0,5004.0,494.0,680.0,31.177,28.3089,2,33.9459,31.566,0,2.7689,3.2571,2
ga,13285960402,13285960904,142,0.0000338877,33.0877748,-85.0360591,32.9772386,-85.0925324,51786.0,3310.0,2234.0,506.0,0.0,17.7369,20.5428,6,18.1729,23.4011,1,0.436,2.8583,5
