city,state,geoid,portal_cameras,osm_flock_in_limits,ratio,population,median_income,pct_black,pct_hispanic,portal_updated
El Cajon,CA,0621712,103,74,0.7184466019417476,105721.0,64128.0,5.682882303421269,28.28482515299704,2026-09-23
Acworth,GA,1300408,306,32,0.10457516339869281,22318.0,74643.0,22.48409355677032,17.008692535173402,2026-09-23
Adrian,MI,2600440,10,12,1.2,20607.0,40797.0,3.5230746833600235,21.662541854709566,2026-09-22
Ahoskie,NC,3700500,16,3,0.1875,4841.0,38063.0,59.90497831026647,5.515389382359016,2026-09-22
Akron,OH,3901000,146,153,1.047945205479452,190273.0,46596.0,29.29632685667436,3.405107398317155,2026-09-23
Alameda,CA,0600562,36,51,1.4166666666666667,77565.0,129917.0,6.760781280216593,12.089215496680204,2026-09-22
Albany,CA,0600674,35,32,0.9142857142857143,20027.0,124469.0,4.009587057472412,11.819044290208218,2026-09-04
Albany,OR,4101000,4,3,0.75,56348.0,69777.0,0.49336267480655926,14.135373038972102,2026-07-22
Alexandria,MN,2700928,11,9,0.8181818181818182,14400.0,57309.0,0.25,4.416666666666667,2026-09-22
Alexandria,VA,5101000,61,72,1.180327868852459,157594.0,113179.0,20.855489422186125,16.556467885833218,2026-09-23
Alhambra,CA,0600884,54,55,1.0185185185185186,82295.0,80234.0,2.3537274439516374,35.088401482471596,2026-09-23
Alpharetta,GA,1301696,119,97,0.8151260504201681,65884.0,141402.0,11.253111529354623,7.613381094044078,2026-09-23
Altavista,VA,5101528,7,3,0.42857142857142855,3370.0,39761.0,30.771513353115726,1.543026706231454,2026-09-23
Altoona,IA,1901630,51,55,1.0784313725490196,20017.0,89100.0,3.3671379327571564,4.53614427736424,2026-09-23
Altoona,WI,5501550,11,5,0.45454545454545453,8506.0,77002.0,0.5525511403715024,3.068422290148131,2026-08-27
Amherst,OH,3901798,12,9,0.75,12740.0,86250.0,1.978021978021978,6.8995290423861855,2026-09-23
Angier,NC,3701400,13,5,0.38461538461538464,5348.0,54936.0,12.546746447270008,22.213911742707555,2026-09-22
Ankeny,IA,1902305,15,15,1.0,68392.0,101151.0,1.0001169727453503,3.751900807111943,2026-09-22
Anoka,MN,2701720,7,11,1.5714285714285714,17892.0,73118.0,7.740889783143304,6.052984574111335,2026-09-22
Antioch,CA,0602252,18,32,1.7777777777777777,115016.0,90709.0,18.765215274396606,35.10381164359741,2026-09-23
Apex,NC,3701520,8,12,1.5,65541.0,129688.0,7.708152149036481,6.432614699195923,2026-09-23
Apopka,FL,1201700,10,40,4.0,55056.0,87394.0,25.01453065969195,28.36929671607091,2026-09-22
Appleton,WI,5502375,20,16,0.8,75133.0,75469.0,2.623347929671383,6.429930922497438,2026-06-28
Aransas Pass,TX,4803600,10,9,0.9,8720.0,59403.0,3.853211009174312,45.321100917431195,2026-09-18
Arcadia,CA,0602462,50,43,0.86,56181.0,108214.0,1.441768569445186,16.290204873533757,2026-09-22
Arcanum,OH,3902330,5,2,0.4,2790.0,51597.0,1.003584229390681,1.971326164874552,2026-09-23
Argyle,TX,4803768,11,12,1.0909090909090908,4638.0,205246.0,1.1642949547218628,4.182837429926693,2026-09-23
Arlington Heights,IL,1702154,32,33,1.03125,76794.0,113502.0,2.6252050941479803,8.863973747949059,2026-09-23
Arlington,WA,5302585,22,22,1.0,20263.0,89587.0,1.6433894290085378,14.60297093224103,2026-09-22
Arlington,TX,4804000,134,151,1.126865671641791,393469.0,71736.0,22.34864754275432,29.958395705887884,2026-09-22
Arvada,CO,0803455,16,32,2.0,123066.0,106014.0,0.7881949523020167,15.234914598670631,2026-09-22
Ashland,KY,2102368,12,10,0.8333333333333334,21542.0,51250.0,1.4344072045306842,3.0127193389657414,2026-09-23
Ashland,OH,3902568,15,18,1.2,19270.0,56040.0,1.6813700051894136,2.2366372599896214,2026-09-23
Athens,TX,4804504,6,4,0.6666666666666666,12878.0,54828.0,16.997981052958533,30.50163068799503,2026-09-22
Atherton,CA,0603092,53,51,0.9622641509433962,7124.0,250001.0,1.4458169567658619,9.067939359910163,2026-09-22
Aubrey,TX,4804600,58,6,0.10344827586206896,5932.0,93071.0,12.306136210384356,5.2764666217127445,2026-09-23
Auburn,CA,0603204,12,11,0.9166666666666666,13773.0,73074.0,0.5735860015973281,14.738982066361721,2026-09-23
Auburn,IN,1802674,8,12,1.5,13316.0,58635.0,0.06007810153199159,1.1114448783418445,2026-09-23
Auburn,WA,5303180,40,43,1.075,85623.0,87406.0,7.321630870210107,18.982049215748106,2026-09-23
Audubon Park,KY,2102656,2,1,0.5,1412.0,104107.0,3.3994334277620397,2.9745042492917846,2026-09-23
Aurora,CO,0804000,121,270,2.231404958677686,387349.0,78685.0,16.088850106751277,29.684341511143696,2026-09-22
Austell,GA,1304252,15,16,1.0666666666666667,8109.0,64071.0,62.93007769145394,6.9675669009742265,2026-09-23
Aviston,IL,1703181,9,0,0.0,2342.0,99821.0,0.2561912894961571,6.789069171648164,2026-09-23
