attribute,scope,segment,q1,q2,q3,q4,q4_over_q1,lo,hi
black,within county,home tract edge,0.2059,0.2068,0.1928,0.2211,1.074,0.9439,1.2201
black,within county,home edge + 2 km ring,0.3392,0.3396,0.3635,0.4348,1.2817,1.1456,1.4296
black,within county,home tract interior,0.1142,0.1335,0.1129,0.124,1.0856,0.9103,1.2728
black,within county,everything else,4.6071,4.6297,4.697,4.81,1.044,0.9667,1.1196
black,within county,all cameras,5.0605,5.1028,5.1734,5.3687,1.0609,0.9863,1.132
black,within county x density tercile,home tract edge,0.2097,0.1977,0.2053,0.2096,0.9996,0.8611,1.1688
black,within county x density tercile,home edge + 2 km ring,0.3835,0.3784,0.4099,0.4476,1.1673,1.0337,1.3279
black,within county x density tercile,home tract interior,0.0942,0.1231,0.1099,0.105,1.114,0.917,1.3501
black,within county x density tercile,everything else,4.2964,4.5203,4.4155,4.8602,1.1312,1.0416,1.2309
black,within county x density tercile,all cameras,4.7741,5.0218,4.9354,5.4127,1.1338,1.0494,1.2247
black,"within county, same commutes as the density ranking",home tract edge,0.203,0.2055,0.1944,0.2197,1.082,0.9316,1.2611
black,"within county, same commutes as the density ranking",home edge + 2 km ring,0.3793,0.3682,0.4029,0.4656,1.2275,1.0842,1.39
black,"within county, same commutes as the density ranking",home tract interior,0.0978,0.1168,0.1114,0.1053,1.0771,0.8855,1.3106
black,"within county, same commutes as the density ranking",everything else,4.4107,4.3803,4.4559,4.8139,1.0914,1.0065,1.1864
black,"within county, same commutes as the density ranking",all cameras,4.8878,4.8654,4.9702,5.3848,1.1017,1.0216,1.1912
black,national,home tract edge,0.1588,0.1974,0.2085,0.2275,1.4322,1.275,1.6086
black,national,home edge + 2 km ring,0.2275,0.3174,0.3378,0.4043,1.777,1.6128,1.9712
black,national,home tract interior,0.1089,0.1433,0.1295,0.1545,1.4191,1.255,1.6101
black,national,everything else,3.9994,4.3345,4.9388,5.4627,1.3659,1.2908,1.4483
black,national,all cameras,4.3358,4.7952,5.4061,6.0216,1.3888,1.319,1.4684
hispanic,within county,home tract edge,0.2019,0.197,0.2108,0.2169,1.0742,0.9431,1.2277
hispanic,within county,home edge + 2 km ring,0.3336,0.3437,0.3638,0.4361,1.3076,1.1741,1.4589
hispanic,within county,home tract interior,0.1277,0.1326,0.1156,0.1073,0.8408,0.702,0.9921
hispanic,within county,everything else,4.7469,4.771,4.5279,4.6887,0.9877,0.9153,1.0622
hispanic,within county,all cameras,5.2081,5.2473,5.0072,5.2322,1.0046,0.9345,1.0757
