date,state,pct_ge1,mean_cameras,cameras
2024-01-01,ak,0.0,0.0,0
2024-01-01,al,0.0,0.0,1
2024-01-01,ar,0.0,0.0,0
2024-01-01,az,0.0,0.0,0
2024-01-01,ca,1.37,0.015,67
2024-01-01,co,0.0,0.0,0
2024-01-01,ct,0.0,0.0,0
2024-01-01,dc,0.0,0.0,0
2024-01-01,de,0.0,0.0,0
2024-01-01,fl,0.85,0.019,54
2024-01-01,ga,3.04,0.051,27
2024-01-01,hi,0.0,0.0,0
2024-01-01,ia,0.0,0.0,0
2024-01-01,id,0.0,0.0,0
2024-01-01,il,23.48,0.835,317
2024-01-01,in,0.34,0.006,5
2024-01-01,ks,3.36,0.075,18
2024-01-01,ky,0.0,0.0,1
2024-01-01,la,0.0,0.0,0
2024-01-01,ma,4.29,0.06,77
2024-01-01,md,0.0,0.0,2
2024-01-01,me,0.0,0.0,2
2024-01-01,mi,7.12,0.093,38
2024-01-01,mn,0.0,0.0,1
2024-01-01,mo,0.0,0.0,1
2024-01-01,ms,0.0,0.0,0
2024-01-01,mt,0.0,0.0,0
2024-01-01,nc,1.51,0.015,2
2024-01-01,nd,0.0,0.0,0
2024-01-01,ne,0.0,0.0,0
2024-01-01,nh,0.0,0.0,20
2024-01-01,nj,0.0,0.0,12
2024-01-01,nm,0.0,0.0,1
2024-01-01,nv,0.0,0.0,0
2024-01-01,ny,2.43,0.028,61
2024-01-01,oh,6.68,0.164,267
2024-01-01,ok,9.96,0.151,47
2024-01-01,or,0.0,0.0,0
2024-01-01,pa,0.84,0.029,24
2024-01-01,ri,0.0,0.0,0
2024-01-01,sc,0.0,0.0,0
2024-01-01,sd,0.0,0.0,0
2024-01-01,tn,0.0,0.0,0
2024-01-01,tx,0.43,0.009,61
2024-01-01,ut,0.0,0.0,0
2024-01-01,va,0.0,0.0,3
2024-01-01,vt,0.0,0.0,0
2024-01-01,wa,0.0,0.0,3
2024-01-01,wi,0.0,0.0,0
2024-01-01,wv,0.0,0.0,0
2024-01-01,wy,0.0,0.0,0
2024-07-01,ak,0.0,0.0,0
2024-07-01,al,0.0,0.0,1
2024-07-01,ar,0.5,0.008,2
2024-07-01,az,0.0,0.0,0
2024-07-01,ca,2.99,0.037,127
2024-07-01,co,0.0,0.0,0
2024-07-01,ct,0.0,0.0,0
2024-07-01,dc,0.0,0.0,0
2024-07-01,de,0.0,0.0,0
2024-07-01,fl,0.85,0.02,56
2024-07-01,ga,3.21,0.052,28
2024-07-01,hi,0.0,0.0,0
2024-07-01,ia,0.0,0.0,0
2024-07-01,id,0.0,0.0,0
2024-07-01,il,26.98,0.936,368
2024-07-01,in,0.34,0.006,6
2024-07-01,ks,5.55,0.147,39
2024-07-01,ky,0.0,0.0,1
2024-07-01,la,0.0,0.0,0
2024-07-01,ma,4.29,0.06,77
2024-07-01,md,0.0,0.0,2
2024-07-01,me,0.0,0.0,2
2024-07-01,mi,10.06,0.189,77
2024-07-01,mn,0.0,0.0,1
2024-07-01,mo,0.0,0.0,1
2024-07-01,ms,0.0,0.0,0
2024-07-01,mt,0.0,0.0,0
2024-07-01,nc,1.51,0.015,2
2024-07-01,nd,0.0,0.0,0
2024-07-01,ne,0.0,0.0,0
2024-07-01,nh,0.0,0.0,20
2024-07-01,nj,0.0,0.0,12
2024-07-01,nm,0.0,0.0,2
2024-07-01,nv,0.0,0.0,0
2024-07-01,ny,2.43,0.028,61
2024-07-01,oh,7.76,0.193,291
2024-07-01,ok,16.29,0.269,109
2024-07-01,or,0.0,0.0,0
2024-07-01,pa,1.1,0.029,28
2024-07-01,ri,0.0,0.0,0
2024-07-01,sc,0.0,0.0,0
2024-07-01,sd,0.0,0.0,0
2024-07-01,tn,0.0,0.0,0
2024-07-01,tx,5.02,0.18,85
2024-07-01,ut,0.0,0.0,0
2024-07-01,va,1.87,0.039,19
2024-07-01,vt,0.0,0.0,0
2024-07-01,wa,0.0,0.0,3
2024-07-01,wi,0.0,0.0,0
2024-07-01,wv,0.0,0.0,0
2024-07-01,wy,0.0,0.0,0
2025-01-01,ak,0.0,0.0,0
2025-01-01,al,17.05,0.346,229
2025-01-01,ar,1.35,0.016,10
2025-01-01,az,3.12,0.068,49
2025-01-01,ca,17.76,0.855,1891
2025-01-01,co,23.07,0.525,211
2025-01-01,ct,14.36,0.194,26
2025-01-01,dc,0.0,0.0,0
2025-01-01,de,0.0,0.0,0
2025-01-01,fl,5.37,0.083,232
2025-01-01,ga,28.61,0.714,399
2025-01-01,hi,0.0,0.0,0
2025-01-01,ia,0.34,0.003,4
2025-01-01,id,0.0,0.0,0
2025-01-01,il,40.6,1.464,721
2025-01-01,in,15.53,0.274,105
2025-01-01,ks,24.29,0.705,260
2025-01-01,ky,28.43,0.607,221
2025-01-01,la,7.2,0.118,60
2025-01-01,ma,4.37,0.061,79
2025-01-01,md,0.08,0.001,3
2025-01-01,me,0.0,0.0,2
2025-01-01,mi,26.07,0.644,293
2025-01-01,mn,2.28,0.029,24
2025-01-01,mo,8.81,0.133,128
2025-01-01,ms,0.34,0.004,7
2025-01-01,mt,0.0,0.0,0
2025-01-01,nc,4.21,0.056,52
2025-01-01,nd,0.0,0.0,0
2025-01-01,ne,0.17,0.003,5
2025-01-01,nh,0.0,0.0,20
2025-01-01,nj,0.76,0.008,24
2025-01-01,nm,1.36,0.014,5
2025-01-01,nv,0.6,0.006,4
2025-01-01,ny,3.6,0.047,88
2025-01-01,oh,21.95,0.498,619
2025-01-01,ok,30.72,0.515,229
2025-01-01,or,1.47,0.017,39
2025-01-01,pa,1.35,0.031,35
2025-01-01,ri,4.0,0.04,2
2025-01-01,sc,2.56,0.04,10
2025-01-01,sd,0.36,0.004,4
2025-01-01,tn,3.43,0.054,99
2025-01-01,tx,15.14,0.378,545
2025-01-01,ut,0.99,0.01,11
2025-01-01,va,20.02,0.522,449
2025-01-01,vt,0.0,0.0,0
2025-01-01,wa,1.98,0.028,28
2025-01-01,wi,29.89,0.649,353
2025-01-01,wv,0.34,0.007,3
2025-01-01,wy,0.74,0.022,5
2025-07-01,ak,0.0,0.0,0
2025-07-01,al,33.33,0.858,621
2025-07-01,ar,21.03,0.421,90
2025-07-01,az,15.94,0.353,246
2025-07-01,ca,35.61,1.536,3950
2025-07-01,co,40.73,0.976,550
2025-07-01,ct,18.86,0.285,59
2025-07-01,dc,0.08,0.002,4
2025-07-01,de,13.75,0.157,42
2025-07-01,fl,30.41,0.853,1214
2025-07-01,ga,54.51,2.132,1391
2025-07-01,hi,0.0,0.0,0
2025-07-01,ia,37.47,0.978,405
2025-07-01,id,1.38,0.014,10
2025-07-01,il,58.65,2.705,1592
2025-07-01,in,36.02,1.018,509
2025-07-01,ks,30.92,0.844,321
2025-07-01,ky,35.7,0.869,332
2025-07-01,la,38.49,0.957,381
2025-07-01,ma,31.03,0.99,240
2025-07-01,md,6.81,0.112,68
2025-07-01,me,0.52,0.016,6
