exposed_on,date,n,commuter_share,mean_cameras,pct_zero_after,pct_zero_after_lo,pct_zero_after_hi,median_extra_min,median_min_per_camera,median_min_per_camera_lo,median_min_per_camera_hi
2024-01-01,2024-01-01,780,2.2178,2.4582,94.9596,92.7977,96.8325,0.7738,0.4244,0.3826,0.4709
2024-01-01,2024-07-01,780,2.2178,2.6344,94.4685,92.1935,96.4117,0.8377,0.4106,0.3795,0.454
2024-01-01,2025-01-01,780,2.2178,3.3441,94.1984,91.936,96.1576,1.2283,0.4856,0.4267,0.5371
2024-01-01,2025-07-01,780,2.2178,5.5153,93.2298,90.8096,95.3275,1.7965,0.4878,0.4559,0.5256
2024-01-01,2026-01-01,780,2.2178,9.2291,85.2096,81.8381,88.4605,2.971,0.474,0.4346,0.5054
2024-01-01,2026-09-22,780,2.2178,14.3682,78.7294,75.2414,82.1317,5.9038,0.5262,0.4769,0.5671
2024-07-01,2024-07-01,1076,3.2655,2.5742,96.0303,94.398,97.3579,1.0044,0.4877,0.4443,0.5569
2024-07-01,2025-01-01,1076,3.2655,3.3348,94.0766,91.9081,96.0904,1.375,0.5965,0.5444,0.6786
2024-07-01,2025-07-01,1076,3.2655,5.2466,92.9865,90.6824,95.0711,2.3139,0.584,0.5347,0.6441
2024-07-01,2026-01-01,1076,3.2655,8.6285,85.3276,82.1056,88.3216,3.5473,0.5513,0.5116,0.5966
2024-07-01,2026-09-22,1076,3.2655,15.7756,69.5742,66.1817,73.4282,7.1944,0.6441,0.5854,0.6708
2025-01-01,2025-01-01,4875,12.2808,2.8453,92.4953,91.2187,93.6291,1.2002,0.6143,0.5797,0.6526
2025-01-01,2025-07-01,4875,12.2808,4.3333,89.794,88.4618,91.0341,1.845,0.6491,0.6122,0.68
2025-01-01,2026-01-01,4875,12.2808,7.0947,84.1291,82.5406,85.6133,3.2498,0.683,0.6516,0.7197
2025-01-01,2026-09-22,4875,12.2808,12.2978,69.7685,67.8797,71.6247,6.5556,0.8311,0.7878,0.8738
2025-07-01,2025-07-01,12647,29.4011,3.2018,92.3892,91.7059,93.0531,1.3619,0.652,0.6294,0.6752
2025-07-01,2026-01-01,12647,29.4011,5.6659,84.8118,83.8924,85.6795,2.6968,0.7078,0.6831,0.7376
2025-07-01,2026-09-22,12647,29.4011,9.9002,72.6156,71.4848,73.7136,5.002,0.8113,0.7873,0.8371
2026-01-01,2026-01-01,25001,55.8612,4.3727,86.8778,86.2805,87.452,1.9792,0.7034,0.6877,0.722
2026-01-01,2026-09-22,25001,55.8612,8.0429,75.6481,74.8768,76.3701,3.9495,0.7837,0.7649,0.8027
